xi_1,xi_2,P
1.5577743341923733,0.49628304852591165,0.0
1.566316153509936,0.5006500964150158,0.0
1.5748138759890375,0.505102342723091,0.0
1.5832666518645124,0.5096393422292168,0.0
1.591673635865817,0.5142606412372235,0.0
1.6000339873015579,0.5189657776210618,0.0
1.6083468701435566,0.5237542808710134,0.0
1.6166114531104574,0.5286256721407442,0.0
1.6248269097508508,0.5335794642951867,0.0
1.632992418525919,0.5386151619592539,0.0
1.6411071628915885,0.5437322615673751,0.0
1.6491703313801853,0.548930251413854,0.0
1.6571811176815796,0.5542086117040377,0.0
1.665138720723818,0.5595668146062963,0.0
1.6730423447532259,0.5650043243048036,0.0
1.6808911994139875,0.5705205970531216,0.0
1.6886844998271775,0.5761150812285725,0.0
1.6964214666692494,0.581787217387401,0.0
1.7041013262499658,0.5875364383207171,0.0
1.7117233105897682,0.5933621691112191,0.0
1.7192866574965746,0.5992638271906826,0.0
1.7267906106419972,0.6052408223982177,0.0
